par,value,orig
Amax_mod,3.04,13.8
C_max,50,50
C_ref,1000,1000
D_0,1.4,1.4
E_ad,10,10
E_e,10,10
E_K,90,90
E_m,10,10
E_r,90,90
E_V,90,90
f_CD,0.000069,0.000069
f_CE,0.00039,0.00039
f_CM,0.041,0.041
f_gr,0.6,0.6
f_mp,0.5,0.5
f_ue,0.01,0.025
k_ads_ref,1.00E-06,1.00E-06
K_D_ref,63,60
k_des_ref,1.20E-10,1.20E-10
df_p1,2.75,2.75
df_h1,2.75,2.75
df_h2,1.26,1.26
pd,2700,2700
psi_fc,33,33
psi_Rth,15000,15000
R,0.008314,0.008314
r_ed_ref,0.0002,0.0002
r_md_ref,0.002,0.002
r_mr_ref,0.00004,0.00004
T_ref,293.15,293.15
V_D_ref,0.00165,0.3
V_U_ref,0.04,0.09
min_md,0.00003,0.0001
